,title,synopsis,label
430,The Living Daylights,james bond helps a russian general escape into the west. he soon finds out that the kgb wants to kill him for helping the general. a little while later the general is kidnapped from the secret service leading 007 to be suspicious.,3
431,Licence to Kill,"after capturing the notorious drug lord franz sanchez, bond's close friend and former cia agent felix leiter is left for dead and his wife is murdered. bond goes rogue and seeks vengeance on those responsible, as he infiltrates sanchez's organization from the inside.",2
432,GoldenEye,"when a powerful satellite system falls into the hands of alec trevelyan, aka agent 006, a former ally-turned-enemy, only james bond can save the world from an awesome space weapon that -- in one short pulse -- could destroy the earth! as bond squares off against his former compatriot, he also battles trevelyan's stunning ally, xenia onatopp, an assassin who uses pleasure as her ultimate weapon.",12
433,Finding Forrester,gus van sant tells the story of a young african american man named jamal who confronts his talents while living on the streets of the bronx. he accidentally runs into an old writer named forrester who discovers his passion for writing. with help from his new mentor jamal receives a scholarship to a private school.,13
434,Four Weddings and a Funeral,"over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.",8
435,The Piano,"after a long voyage from scotland, pianist ada mcgrath and her young daughter, flora, are left with all their belongings, including a piano, on a new zealand beach. ada, who has been mute since childhood, has been sold into marriage to a local man named alisdair stewart. making little attempt to warm up to alisdair, ada soon becomes intrigued by his maori-friendly acquaintance, george baines, leading to tense, life-altering conflicts.",9
436,Tomorrow Never Dies,a deranged media mogul is staging international incidents to pit the world's superpowers against each other. now james bond must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.,12
437,Top Gun,"a heart-pounding combination of action, music and incredible aerial photography helped make top gun the blockbuster hit. of 1986. top gun takes a look at the danger and excitement that awaits every pilot at the navy's prestigious fighter weapons school. tom cruise is superb as lt. pete ""maverick"" mitchell, a daring young flyer who's out to become the best. and kelly mcgillis sizzles as the civilian instructor who teaches maverick a few things you can't learn in a classroom.",3
438,The Sixth Sense,"following an unexpected tragedy, a child psychologist named malcolm crowe meets an eight year old boy named cole sear, who is hiding a dark secret.",1
439,The Last Emperor,"a dramatic history of pu yi, the last of the emperors of china, from his lofty birth and brief reign in the forbidden city, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading japanese, and finally to his obscure existence as just another peasant worker in the people's republic.",3
440,Shaun of the Dead,"shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. this gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary londoners.",5
441,Murder She Said,"miss marple believes she's seen a murder in a passing-by train, yet when the police find no evidence she decides to investigate it on her own.",2
442,Murder at the Gallop,"miss marple and mr. stringer are witnesses to the death by heart attack of elderly, rich mr. enderby. yet they have their doubts about what happened. the police don't believe them, thus leading miss marple to yet again investigate by herself.",2
443,V for Vendetta,"in a world in which great britain has become a fascist state, a masked vigilante known only as “v” conducts guerrilla warfare against the oppressive british government. when v rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of britain.",9
444,Faces,"middle-aged suburban husband richard abruptly tells his wife, maria, that he wants a divorce. as richard takes up with a younger woman, maria enjoys a night on the town with her friends and meets a younger man. as the couple and those around them confront a seemingly futile search for what they've lost -- love, excitement, passion -- this classic american independent film explores themes of aging and alienation.",8
445,Face/Off,"sean archer, a very tough, rugged fbi agent. who is still grieving for his dead son michael. archer believes that his son's killer is his sworn enemy, a very powerful criminal, castor troy. one day, archer has finally cornered castor, however, their fight has knocked out troy cold. as archer finally breathes easy over the capture of his enemy, he finds out that troy has planted a bomb that will destroy the entire city of los angeles and all of its inhabitants. unfortunately the only other person who knows its location is castor's brother pollux, and he refuses to talk. the solution, a special operation doctor that can cut off people's faces, and can place a person's face onto another person. archer undergoes one of those surgeries to talk to pollux. however, castor troy somehow regains consciousness and now wants revenge on archer for taking his face. not only is troy ruining archer's mission, but his personal life as well. archer must stop troy again. this time, it's personal.",2
446,From Dusk Till Dawn,"seth gecko and his younger brother richard are on the run after a bloody bank robbery in texas. they escape across the border into mexico and will be home-free the next morning, when they pay off the local kingpin. they just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a hell of a strip joint.",3
447,Fantasia,"walt disney's timeless masterpiece is an extravaganza of sight and sound! see the music come to life, hear the pictures burst into song and experience the excitement that is fantasia over and over again.",5
448,Murder Most Foul,a murderer is brought to court and only miss marple is unconvinced of his innocence. once again she begins her own investigation.,2
449,Murder Ahoy,"during an annual board of trustees meeting, one of the trustees dies. miss marple thinks he’s been poisoned after finding a chemical on him. she sets off to investigate at the ship where he had just come from. the fourth and final film from the miss marple series starring margaret rutherford as the quirky amateur detective.",0
450,Gentlemen Prefer Blondes,"lorelei lee is a beautiful showgirl engaged to be married to the wealthy gus esmond, much to the disapproval of gus' rich father, esmond sr., who thinks that lorelei is just after his money. when lorelei goes on a cruise accompanied only by her best friend, dorothy shaw, esmond sr. hires ernie malone, a private detective, to follow her and report any questionable behavior that would disqualify her from the marriage.",3
451,Monty Python and the Holy Grail,"king arthur, accompanied by his squire, recruits his knights of the round table, including sir bedevere the wise, sir lancelot the brave, sir robin the not-quite-so-brave-as-sir-lancelot and sir galahad the pure. on the way, arthur battles the black knight who, despite having had all his limbs chopped off, insists he can still fight. they reach camelot, but arthur decides not  to enter, as ""it is a silly place"".",3
452,Braindead,"when a sumatran rat-monkey bites lionel cosgrove's mother, she's transformed into a zombie and begins killing (and transforming) the entire town while lionel races to keep things under control.",7
453,The Evil Dead,"when a group of college students finds a mysterious book and recording in the old wilderness cabin they've rented for the weekend, they unwittingly unleash a demonic force from the surrounding forest.",1
454,Evil Dead II,"ash williams and his girlfriend linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ""the book of the dead."" as they play the recording an evil power is unleashed taking over linda's body.",3
455,Army of Darkness,"ash is transported back to medieval days, where he is captured by the dreaded lord arthur. aided by the deadly chainsaw that has become his only friend, ash is sent on a perilous mission to recover the book of the dead, a powerful tome that gives its owner the power to summon an army of ghouls.",3
456,Harry Potter and the Half-Blood Prince,"as lord voldemort tightens his grip on both the muggle and wizarding worlds, hogwarts is no longer a safe haven. harry suspects perils may even lie within the castle, but dumbledore is more intent upon preparing him for the final battle fast approaching. together they work to find the key to unlock voldemorts defenses and to this end, dumbledore recruits his old friend and colleague horace slughorn, whom he believes holds crucial information. even as the decisive showdown looms, romance blossoms for harry, ron, hermione and their classmates. love is in the air, but danger lies ahead and hogwarts may never be the same again.",3
457,From Hell,frederick abberline is an opium-huffing inspector from scotland yard who falls for one of jack the ripper's prostitute targets in this hughes brothers adaption of a graphic novel that posits the ripper's true identity.,3
458,GoodFellas,"the true story of henry hill, a half-irish, half-sicilian brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a mafia family under the guidance of jimmy conway.",11
459,Gone with the Wind,"the spoiled daughter of a well-to-do plantation owner is forced to use every means at her disposal to claw her way out of poverty, following maj. gen. william sherman's destructive ""march to the sea,” during the american civil war.",12
460,Home Alone,"eight-year-old kevin mccallister makes the most of the situation after his family unwittingly leaves him behind when they go on christmas vacation. but when a pair of bungling burglars set their sights on kevin's house, the plucky kid stands ready to defend his territory. by planting booby traps galore, adorably mischievous kevin stands his ground as his frantic mother attempts to race home before christmas day.",11
461,Home Alone 2: Lost in New York,"instead of flying to florida with his folks, kevin ends up alone in new york, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. but when kevin runs into his old nemeses, the wet bandits, he's determined to foil their plans to rob a toy store on christmas eve.",4
462,Little Miss Sunshine,"a family loaded with quirky, colorful characters piles into an old van and road trips to california for little olive to compete in a beauty pageant.",1
463,Gattaca,"in a future society in the era of indefinite eugenics, humans are set on a life course depending on their dna. young vincent freeman is born with a condition that would prevent him from space travel, yet is determined to infiltrate the gattaca space program.",5
464,Gandhi,"in the early years of the 20th century, mohandas k. gandhi, a british-trained lawyer, forsakes all worldly possessions to take up the cause of indian independence. faced with armed resistance from the british government, gandhi adopts a policy of 'passive resistance', endeavouring to win freedom for his people without resorting to bloodshed.",3
465,Almost Famous,"in 1973, 15-year-old william miller's unabashed love of music and aspiration to become a rock journalist lands him an assignment from rolling stone magazine to interview and tour with the up-and-coming band stillwater.",1
466,Mr. & Mrs. Smith,"after five (or six) years of vanilla-wedded bliss, ordinary suburbanites john and jane smith are stuck in a huge rut. unbeknownst to each other, they are both coolly lethal, highly-paid assassins working for rival organisations. when they discover they're each other's next target, their secret lives collide in a spicy, explosive mix of wicked comedy, pent-up passion, nonstop action and high-tech weaponry.",3
467,Mrs. Doubtfire,"loving but irresponsible dad daniel hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. when daniel learns his ex needs a housekeeper, he gets the job -- disguised as an english nanny. soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",11
468,The Fog,"strange things begin to occurs as a tiny california coastal town prepares to commemorate its centenary. inanimate objects spring eerily to life; rev. malone stumbles upon a dark secret about the town's founding; radio announcer stevie witnesses a mystical fire; and hitchhiker elizabeth discovers the mutilated corpse of a fisherman. then a mysterious iridescent fog descends upon the village, and more people start to die.",7
469,The Fog,"trapped within an eerie mist, the residents of antonio bay have become the unwitting victims of a horrifying vengeance. one hundred years earlier, a ship carrying lepers was purposely lured onto the rocky coastline and sank, drowning all aboard. now they're back – long-dead mariners who've waited a century for their revenge.",3
470,Platoon,"as a young and naive recruit in vietnam, chris taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",12
471,Blue Velvet,"the discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child.",13
472,The Omen,"immediately after their miscarriage, the us diplomat robert thorn adopts the newborn damien without the knowledge of his wife. yet what he doesn’t know is that their new son is the son of the devil.",8
473,City of Angels,"when guardian angel seth - who invisibly watches over the citizens of los angeles - becomes captivated by maggie, a strong-willed heart surgeon, he ponders trading in his pure, otherworldly existence for a mortal life with his beloved. the couple embarks on a tender but forbidden romance spanning heaven and earth.",5
474,Cruel Intentions,"slaking a thirst for dangerous games, kathryn challenges her stepbrother, sebastian, to deflower their headmaster's daughter before the summer ends. if he succeeds, the prize is the chance to bed kathryn. but if he loses, kathryn will claim his most prized possession.",3
475,"Good Morning, Vietnam","radio funny man adrian cronauer is sent to vietnam to bring a little comedy back into the lives of the soldiers. after setting up shop, cronauer delights the g.i.s but shocks his superior officer, sergeant major dickerson, with his irreverent take on the war. while dickerson attempts to censor cronauer's broadcasts, cronauer pursues a relationship with a vietnamese girl named trinh, who shows him the horrors of war first-hand.",12
476,Lolita,"humbert humbert is a middle-aged british novelist who is both appalled by and attracted to the vulgarity of american culture. when he comes to stay at the boarding house run by charlotte haze, he soon becomes obsessed with lolita, the woman's teenaged daughter.",8
477,Roman Holiday,"overwhelmed by her suffocating schedule, touring european princess ann takes off for a night while in rome. when a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an american reporter, joe bradley, who takes her back to his apartment for safety. at work the next morning, joe finds out ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.",3
478,Rosemary's Baby,"a young couple, rosemary and guy, moves into an infamous new york apartment building, known by frightening legends and mysterious events, with the purpose of starting a family.",4
479,The Omen,a diplomatic couple adopts the son of the devil without knowing it. a remake of the classic horror film of the same name from 1976.,0
480,Se7en,"two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. the seasoned det. sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, mills, scoffs at his efforts to unravel the case.",2
481,Shrek,"it ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named shrek. on a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, shrek teams up with an unlikely compatriot -- a wisecracking donkey.",3
482,Shrek 2,"shrek, fiona and donkey set off to far, far away to meet fiona's mother and father. but not everyone is happy. shrek and the king find it hard to get along, and there's tension in the marriage. the fairy godmother discovers that shrek has married fiona instead of her son prince charming and sets about destroying their marriage.",3
483,Shrek the Third,"the king of far far away has died and shrek and fiona are to become king & queen. however, shrek wants to return to his cozy swamp and live in peace and quiet, so when he finds out there is another heir to the throne, they set off to bring him back to rule the kingdom.",3
484,Silent Running,"in a future earth barren of all flora and fauna, the planet's ecosystems exist only in large pods attached to spacecraft. when word comes in that the pods are to be jettisoned into space and destroyed so that the spacecraft can be reused for commercial purposes, most of the crew of the valley forge rejoice at the prospect of going home. not so for botanist freeman lowell who loves the forest and its creatures, so decides to take matters into his own hands to protect what he loves.",12
485,Aladdin,"princess jasmine grows tired of being forced to remain in the palace, so she sneaks out into the marketplace, in disguise, where she meets street-urchin aladdin.  the couple falls in love, although jasmine may only marry a prince.  after being thrown in jail, aladdin becomes embroiled in a plot to find a mysterious lamp, with which the evil jafar hopes to rule the land.",8
486,Airplane!,"the persons and events in this film are fictitious - fortunately! a masterpiece of off-the-wall comedy, airplane! features robert hays as an ex-fighter pilot forced to take over the controls of an airliner when the flight crew succumbs to food poisoning; julie hagerty as his girlfriend/stewardess/co-pilot; and a cast of all-stars including robert stack, lloyd bridges, peter graves, leslie nielsen, kareem abdul-jabbar... and more. their hilarious high jinks spoof airplane disaster flicks, religious zealots, television commercials, romantic love... the list whirls by in rapid succession. and the story races from one moment of zany fun to the next.",0
487,An American Werewolf in London,two american tourists in england are attacked by a werewolf that none of the locals will admit exists.,3
488,Animal Farm,an animated film from 1999 based on the famous novel by george orwell. animals on a farm lead a revolution against the farmers to put their destiny in their own hands. however this revolution eats their own children and they cannot avoid corruption.,0
489,Austin Powers: International Man of Mystery,"as a swingin' fashion photographer by day and a groovy british superagent by night, austin powers is the '60s' most shagadelic spy, baby! but can he stop megalomaniac dr. evil after the bald villain freezes himself and unthaws in the '90s? with the help of sexy sidekick vanessa kensington, he just might.",3
490,Austin Powers: The Spy Who Shagged Me,"when diabolical genius dr. evil travels back in time to steal superspy austin powers's ‘mojo,’ austin must return to the swingin' '60s himself - with the help of american agent, felicity shagwell - to stop the dastardly plan. once there, austin faces off against dr. evil's army of minions to try to save the world in his own unbelievably groovy way.",3
491,Austin Powers in Goldmember,"the world's most shagadelic spy continues his fight against dr. evil. this time, the diabolical doctor and his clone, mini-me, team up with a new foe—'70s kingpin goldmember. while pursuing the team of villains to stop them from world domination, austin gets help from his dad and an old girlfriend.",12
492,Sleepers,two gangsters seek revenge on the state jail worker who during their stay at a youth prison sexually abused them. a sensational court hearing takes place to charge him for the crimes.,3
493,JFK,follows the investigation into the assassination of president john f. kennedy led by new orleans district attorney jim garrison.,4
494,Judgment at Nuremberg,"in 1947, four german judges who served on the bench during the nazi regime face a military tribunal to answer charges of crimes against humanity. chief justice haywood hears evidence and testimony not only from lead defendant ernst janning and his defense attorney hans rolfe, but also from the widow of a nazi general, an idealistic u.s. army captain and reluctant witness irene wallner.",3
495,Moulin Rouge!,"a celebration of love and creative inspiration takes place in the infamous, gaudy and glamorous parisian nightclub, at the cusp of the 20th century. a young poet, who is plunged into the heady world of moulin rouge, begins a passionate affair with the club's most notorious and beautiful star.",8
496,Playing by Heart,"eleven articulate people work through affairs of the heart in l.a. paul produces hannah's tv cooking show. mark is dying of aids. men have scalded meredith so she rebuffs trent's charm, but he persists. the trendy, prolix joan tries to pull the solitary keenan into her orbit. an adulterous couple meet at hotels for evening sex. hugh tells tall tales, usually tragic, to women in bars.",3
497,The Bridge on the River Kwai,"the classic story of english pows in burma forced to build a bridge to aid the war effort of their japanese captors. british and american intelligence officers conspire to blow up the structure, but col. nicholson , the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans.",12
498,The Day the Earth Stood Still,an alien and a robot land on earth after world war ii and tell mankind to be peaceful or face destruction.,12
499,Chinatown,"private eye jake gittes lives off of the murky moral climate of sunbaked, pre-world war ii southern california. hired by a beautiful socialite to investigate her husband's extra-marital affair, gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",12
500,Forbidden Planet,"starship c57d travels to planet altair 4 in search of the crew of spaceship ""bellerophon,"" a scientific expedition that has been missing for 20 years, only to find themselves unwelcome by the expedition's lone survivor and warned of destruction by an invisible force if they don't turn back immediately.",12
501,This Island Earth,"aliens have landed and are hiding on earth, but need earth’s scientists to help them fight an inter-planetary war.",12
502,Underworld: Evolution,"as the war between the vampires and the lycans rages on, selene, a former member of the death dealers (an elite vampire special forces unit that hunts werewolves), and michael, the werewolf hybrid, work together in an effort to unlock the secrets of their respective bloodlines.",12
503,Videodrome,"as the president of a trashy tv channel, max renn is desperate for new programming to attract viewers. when he happens upon ""videodrome,"" a tv show dedicated to gratuitous torture and punishment, max sees a potential hit and broadcasts the show on his channel. however, after his girlfriend auditions for the show and never returns, max investigates the truth behind videodrome and discovers that the graphic violence may not be as fake as he thought.",3
504,American Graffiti,a couple of high school graduates spend one final night cruising the strip with their buddies before they go off to college.,6
505,Duel,"traveling businessman david mann angers the driver of a rusty tanker while crossing the california desert. a simple trip turns deadly, as mann struggles to stay on the road while the tanker plays cat and mouse with his life.",5
506,Close Encounters of the Third Kind,"after an encounter with ufos, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.",3
507,Dune,"in the year 10,191, the world is at war for control of the desert planet dune—the only place where the time-travel substance 'spice' can be found. but when one leader gives up control, it's only so he can stage a coup with some unsavory characters.",12
508,The Assassination of Richard Nixon,"it’s 1974 and sam bicke has lost everything. his wife leaves him with his three kids, his boss fires him, his brother turns away from him, and the bank won’t give him any money to start anew. he tries to find someone to blame for his misfortunes and comes up with the president of the united states who he plans to murder.",8
509,Strangers on a Train,"a deranged socialite accosts a tennis star with his theory that if two strangers trade murders, they can disguise their motives and avoid suspicion.",3
510,The X Files,"mulder and scully, now taken off the fbi's x files cases, must find a way to fight the shadowy elements of the government to find out the truth about a conspiracy that might mean the alien colonization of earth.",12
511,Willow,"the evil queen bavmorda hunts the newborn princess elora danan, a child prophesied to bring about her downfall. when the royal infant is found by willow, a timid farmer and aspiring sorcerer, he's entrusted with delivering her from evil.",3
512,Dragonslayer,the sorcerer and his apprentice galen are on a mission to kill an evil dragon in order to save the king’s daughter from being sacrificed in accordance to a pact that the king himself made with the dragon to protect his kingdom. a fantasy film from disney studios that exhausted all possible visual effects of the time.,3
513,Krull,a prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet.,12
514,A Christmas Story,"the comic mishaps and adventures of a young boy named ralph, trying to convince his parents, teachers, and santa that a red ryder b.b. gun really is the perfect christmas gift for the 1940s.",11
515,Brief Encounter,"returning home from a shopping trip to a nearby town, bored suburban housewife laura jesson is thrown by happenstance into an acquaintance with virtuous doctor alec harvey. their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected, and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love.",7
516,Enemy at the Gates,a russian and a german sniper play a game of cat-and-mouse during the battle of stalingrad in wwii.,3
517,The Mask,"when timid bank clerk stanley ipkiss discovers a magical mask containing the spirit of the norse god loki, his entire life changes. while wearing the mask, ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer tina carlyle. unfortunately, under the mask's influence, ipkiss also robs a bank, which angers junior crime lord dorian tyrell, whose goons get blamed for the heist.",3
518,Black Hawk Down,"when u.s. rangers and an elite delta force team attempt to kidnap two underlings of a somali warlord, their black hawk helicopters are shot down, and the americans suffer heavy casualties, facing intense fighting from the militia on the ground.",3
519,Who Framed Roger Rabbit,"'toon star roger is worried that his wife jessica is playing pattycake with someone else, so the studio hires detective eddie valiant to snoop on her. but the stakes are quickly raised when marvin acme is found dead and roger is the prime suspect.",8
520,Saving Private Ryan,"as u.s. troops storm the beaches of normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. ranger captain john miller and seven men are tasked with penetrating german-held territory and bringing the boy home.",3
521,Sleepless in Seattle,"desperate to find his dad sam a date, a young boy calls into a radio show and catches the attention of annie, a journalist who wants to meet sam atop the empire state building.",9
522,Dangerous Liaisons,"in 18th century france, marquise de merteuil asks her ex-lover vicomte de valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. yet things don’t go as planned.",8
523,WarGames,"high school student david lightman has a talent for hacking. but while trying to hack into a computer system to play unreleased video games, he unwittingly taps into the defense department's war computer and initiates a confrontation of global proportions. together with his girlfriend and a wizardly computer genius, david must race against time to outwit his opponent and prevent a nuclear armageddon.",6
524,Total Recall,"construction worker douglas quaid discovers a memory chip in his brain during a virtual-reality trip. he also finds that his past has been invented to conceal a plot of planetary domination. soon, he's off to mars to find out who he is and who planted the chip.",3
525,Toy Story,"led by woody, andy's toys live happily in his room until andy's birthday brings buzz lightyear onto the scene. afraid of losing his place in andy's heart, woody plots against buzz. but when circumstances separate buzz and woody from their owner, the duo eventually learns to put aside their differences.",3
526,Toy Story 2,"andy heads off to cowboy camp, leaving his toys to their own devices. things shift into high gear when an obsessive toy collector named al mcwhiggen, owner of al's toy barn kidnaps woody. andy's toys mount a daring rescue mission, buzz lightyear meets his match and woody has to decide where he and his heart truly belong.",3
527,Cool Runnings,"when a jamaican sprinter is disqualified from the olympic games, he enlists the help of a dishonored coach to start the first jamaican bobsled team.",3
528,The Running Man,"by 2017, the global economy has collapsed and u.s. society has become a totalitarian police state, censoring all cultural activity. the government pacifies the populace by broadcasting a number of game shows in which convicted criminals fight for their lives, including the gladiator-style the running man, hosted by the ruthless damon killian, where “runners” attempt to evade “stalkers” and certain death for a chance to be pardoned and set free.",13
529,Finding Neverland,"during a writing slump, playwright j.m. barrie meets a widow and her three children—who soon become an important part of barrie’s life and the inspiration that lead him to create his masterpiece. peter pan'.",5
530,Sliver,a woman moves into an apartment in manhattan and learns that the previous tenant's life ended mysteriously after they fell from the balcony.,5
531,Planet of the Apes,"after a spectacular crash-landing on an uncharted planet, brash astronaut leo davidson finds himself trapped in a savage world where talking apes dominate the human race. desperate to find a way home, leo must evade the invincible gorilla army led by ruthless general thade.",12
532,Planet of the Apes,"an  u.s. spaceship lands on a desolate planet, stranding astronaut taylor in a world dominated by apes, 2000 years into the future, who use a primitive race of humans for experimentation and sport. soon taylor finds himself among the hunted, his life in the hands of a benevolent chimpanzee scientist.",12
533,Singin' in the Rain,"in 1927 hollywood, a silent film production company and cast make a difficult transition to sound.",0
534,The Color Purple,"an epic tale spanning forty years in the life of celie, an african-american woman living in the south who survives incredible abuse and bigotry. after celie's abusive father marries her off to the equally debasing 'mister' albert johnson, things go from bad to worse, leaving celie to find companionship anywhere she can. she perseveres, holding on to her dream of one day being reunited with her sister in africa.",5
535,A Man for All Seasons,"a depiction of the conflict between king henry viii of england and his lord chancellor, sir thomas more, who refuses to swear the oath of supremacy declaring henry supreme head of the church in england.",3
536,Shanghai Express,a beautiful temptress re-kindles an old romance while trying to escape her past during a tension-packed train journey.,1
537,Scarface,a murderous thug shoots his way to the top of the mobs while trying to protect his sister from the criminal life.,5
538,Hook,"the boy who wasn't supposed grow up—peter pan—does just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. during his trip to see granny wendy in london, the vengeful capt. hook kidnaps peter's kids and forces peter to return to neverland.",8
539,A Few Good Men,"when cocky military lawyer lt. daniel kaffee and his co-counsel, lt. cmdr. joanne galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady col. nathan jessep.",2
540,Coffee and Cigarettes,coffee and cigarettes is a collection of eleven films from cult director jim jarmusch. each film hosts star studded cast of extremely unique individuals who all share the common activities of conversing while drinking coffee and smoking cigarettes.,0
541,Crash,"after getting into a serious car accident, a tv director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.",5
542,The Docks of New York,a blue-collar worker on new york's depressed waterfront finds his life changed after he saves a woman attempting suicide.,4
543,The Cincinnati Kid,an up-and-coming poker player tries to prove himself in a high-stakes match against a long-time master of the game.,6
544,The Best Years of Our Lives,"it's the hope that sustains the spirit of every gi: the dream of the day when he will finally return home. for three wwii veterans, the day has arrived. but for each man, the dream is about to become a nightmare. captain fred derry is returning to a loveless marriage; sergeant al stephenson is a stranger to a family that's grown up without him; and young sailor homer parrish is tormented by the loss of his hands. can these three men find the courage to rebuild their world? or are the best years of their lives a thing of the past?",9
545,The Flintstones,modern stone age family the flintstones hit the big screen in this live-action version of the classic cartoon. fred helps barney adopt a child. barney sees an opportunity to repay him when slate mining tests its employees to find a new executive. but no good deed goes unpunished.,11
546,The Flintstones in Viva Rock Vegas,"the flintstones are at it again. the flintstones and the rubbles head for rock vegas with fred hoping to court the lovely wilma. nothing will stand in the way of love, except for the conniving chip rockefeller who is the playboy born in baysville but who has made it in the cutthroat town of rock vegas. will fred win wilma's love?",8
547,All the President's Men,"during the 1972 elections, two reporters' investigation sheds light on the controversial watergate scandal that compels president richard nixon to resign from his post.",3
548,Birdman of Alcatraz,"after killing a prison guard, convict robert stroud faces life imprisonment in solitary confinement. driven nearly mad by loneliness and despair, stroud's life gains new meaning when he happens upon a helpless baby sparrow in the exercise yard and nurses it back to health. despite having only a third grade education, stroud goes on to become a renowned ornithologist and achieves a greater sense of freedom and purpose behind bars than most people find in the outside world.",5
549,Broken Blossoms,the love story of an abused english girl and a chinese buddhist in a time when london was a brutal and harsh place to live.,8
550,Bringing Up Baby,"david huxley is waiting to get a bone he needs for his museum collection. through a series of strange circumstances, he meets susan vance, and the duo have a series of misadventures which include a leopard called baby.",3
551,City Lights,"in this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",8
552,Cool Hand Luke,"when petty criminal luke jackson is sentenced to two years in a florida prison farm, he doesn't play by the rules of either the sadistic warden or the yard's resident heavy, dragline, who ends up admiring the new guy's unbreakable will. luke's bravado, even in the face of repeated stints in the prison's dreaded solitary confinement cell, ""the box,"" make him a rebel hero to his fellow convicts and a thorn in the side of the prison officers.",3
553,Doctor Zhivago,"the life of a russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during world war i and then the october revolution.",8
554,Meet Me in St. Louis,"in the year before the 1904 st. louis world's fair, the four smith daughters learn lessons of life and love, even as they prepare for a reluctant move to new york.",4
555,The Big Sleep,"private investigator philip marlowe is hired by wealthy general sternwood regarding a matter involving his youngest daughter carmen. before the complex case is over, marlowe sees murder, blackmail, deception, and what might be love.",8
556,The Bank Dick,"egbert sousé becomes an unexpected hero when a bank robber falls over a bench he's occupying. now considered brave, egbert is given a job as a bank guard. soon, he is approached by charlatan j. frothingham waterbury about buying shares in a mining company. egbert persuades teller og oggilby to lend him bank money, to be returned when the scheme pays off. unfortunately, bank inspector snoopington then makes a surprise appearance.",3
557,The Thomas Crown Affair,"young businessman, thomas crown is bored and decides to plan a robbery and assigns a professional agent with the right information to the job. however, crown is soon betrayed yet cannot blow his cover because he’s in love.",9
558,The Thomas Crown Affair,"a very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.",2
559,The Great Dictator,dictator adenoid hynkel tries to expand his empire while a poor jewish barber tries to avoid persecution from hynkel's regime.,3
560,Bullitt,"senator walter chalmers is aiming to take down mob boss pete ross with the help of testimony from the criminal's hothead brother johnny, who is in protective custody in san francisco under the watch of police lieutenant frank bullitt. when a pair of mob hitmen enter the scene, bullitt follows their trail through a maze of complications and double-crosses. this thriller includes one of the most famous car chases ever filmed.",2
561,Blind Date,"when bachelor walter davis is set up with his sister-in-law's pretty cousin, nadia gates, a seemingly average blind date turns into a chaotic night on the town. walter's brother, ted, tells him not to let nadia drink alcohol, but he dismisses the warning and her behaviour gets increasingly wild. walter and nadia's numerous incidents are made even worse as her former lover david relentlessly follows them around town.",7
